Country,W1,W2,W3,W4
Spain,0.808,0.8288333333,0.853,0.8742
Sri Lanka,0.65925,0.696,0.7296,0.7558
St. Kitts and Nevis,,,,0.7508
St. Lucia,,0.6848,0.7104,0.732
St. Vincent and the Grenadines,,0.6826,0.7042,0.7164
Sudan,0.377,0.4071666667,0.4462,0.4764
Suriname,,0.672,0.6898,0.7152
Swaziland,0.5345,0.5006666667,0.5132,0.5362
Sweden,0.861,0.8816666667,0.8954,0.9046
Switzerland,0.8585,0.89,0.913,0.9344
Syria,0.58325,0.601,0.6458,0.6108
Tajikistan,0.52875,0.5491666667,0.5922,0.617
Tanzania,0.37125,0.406,0.4674,0.5092
Thailand,0.62125,0.6613333333,0.698,0.7314
Timor-Leste,,0.4812,0.5632,0.612
Togo,0.41825,0.429,0.4422,0.47
Tonga,0.67175,0.6831666667,0.7002,0.7162
Trinidad and Tobago,0.69225,0.7258333333,0.7646,0.7752
Tunisia,0.621,0.6641666667,0.7002,0.7192
Turkey,0.6175,0.6626666667,0.7026,0.7528
Turkmenistan,,,,0.6772
Uganda,0.34325,0.4093333333,0.4532,0.4806
Ukraine,0.66325,0.6871666667,0.7262,0.7422
United Arab Emirates,0.7745,0.8051666667,0.827,0.8294
United Kingdom,0.84625,0.8723333333,0.8922,0.9022
United States,0.88,0.8886666667,0.9036,0.9144
Uruguay,0.7225,0.746,0.7674,0.7874
Uzbekistan,,0.6068,0.6418,0.681
Vanuatu,,,0.5824,0.5936
Venezuela,0.66225,0.6835,0.739,0.7666
Vietnam,0.54425,0.5885,0.6328,0.6676
Yemen,0.42625,0.4535,0.4806,0.4968
Zambia,0.40925,0.4401666667,0.5052,0.5616
Zimbabwe,0.4545,0.4198333333,0.4196,0.4818
